dci_a,dci_b,severity,description
ABATACEPT,ANTI-TNF ALPHA,DECONSEILLEE,Majoration de l’immunodépression.
ABIRATERONE,METOPROLOL,PRECAUTION_EMPLOI,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme Surveillance clinique. Si besoin, adaptation de la posologie du hépatique par l'abiratérone. métoprolol pendant le traitement par l'abiratérone."
ABIRATERONE,PROPAFENONE,PRECAUTION_EMPLOI,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone. Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone."
ABIRATERONE,RIFAMPICINE,DECONSEILLEE,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité."
ABROCITINIB,FLUCONAZOLE,PRECAUTION_EMPLOI,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme. Réduire la posologie de l’abrocitinib de moitié en cas de traitement par le fluconazole.
ABROCITINIB,FLUVOXAMINE,PRECAUTION_EMPLOI,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme. Réduire la posologie de l’abrocitinib de moitié en cas de traitement par la fluvoxamine.
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,DECONSEILLEE,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide."
ACETAZOLAMIDE,CARBAMAZEPINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage. Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie."
ACETAZOLAMIDE,LITHIUM,PRECAUTION_EMPLOI,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique. Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
ACETAZOLAMIDE,VALPROMIDE,PRECAUTION_EMPLOI,"Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie. Surveillance clinique et biologique régulière."
ACIDE ACETOHYDROXAMIQUE,FER,A_PRENDRE_EN_COMPTE,Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,DECONSEILLEE,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide."
ACIDE ACETYLSALICYLIQUE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DECONSEILLEE,Majoration du risque ulcérogène et hémorragique digestif. Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises)
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,DECONSEILLEE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires. Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. Précaution d'emploi : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,A_PRENDRE_EN_COMPTE,Majoration du risque ulcérogène et hémorragique digestif. A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour)
ACIDE ACETYLSALICYLIQUE,DIURÉTIQUES,PRECAUTION_EMPLOI,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou Hydrater le malade et surveiller la fonction rénale en début de traitement antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : et régulièrement pendant l’association. Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur."
ACIDE ASCORBIQUE,CICLOSPORINE,A_PRENDRE_EN_COMPTE,"Risque de diminution des concentrations sanguines de la ciclosporine, notamment en cas d’association avec la vitamine E."
ACIDE ASCORBIQUE,DÉFÉRIPRONE,PRECAUTION_EMPLOI,"Par extrapolation à partir de l’interaction avec la déféroxamine : avec l’acide ascorbique à fortes doses et par voie IV, risque d’anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l’arrêt de la vitamine C)."
ACIDE ASCORBIQUE,DÉFÉROXAMINE,PRECAUTION_EMPLOI,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir général réversible à l'arrêt de la vitamine C). commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association."
ACIDE CHOLIQUE,PHÉNOBARBITAL,CONTRE_INDICATION,Effet antagoniste du barbiturique.
ACIDE CLODRONIQUE,ESTRAMUSTINE,PRECAUTION_EMPLOI,Risque d’augmentation des concentrations plasmatiques d’estramustine par le clodronate. Surveillance clinique au cours de l’association.
ACIDE FOLINIQUE,FLUOROURACILE,A_PRENDRE_EN_COMPTE,"Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile."
ACIDE FUSIDIQUE,OMBITASVIR + PARITAPRÉVIR,CONTRE_INDICATION,Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son métabolisme hépatique par la bithérapie.
ACIDE NICOTINIQUE,ALCOOL,A_PRENDRE_EN_COMPTE,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur."
ACIDE URSODESOXYCHOLIQUE,CICLOSPORINE,A_PRENDRE_EN_COMPTE,Risque de variation des concentrations sanguines de ciclosporine.
ACITRETINE,ALCOOL,CONTRE_INDICATION,"Chez la femme en âge de procréer, risque de transformation de l’acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt."
ACITRETINE,METHOTREXATE,CONTRE_INDICATION,Risque de majoration de l'hépatotoxicité du méthotrexate.
ADRÉNALINE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,PRECAUTION_EMPLOI,"Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque. Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE,IMAO IRRÉVERSIBLES,PRECAUTION_EMPLOI,"Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque. Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
AFATINIB,AMIODARONE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'amiodarone. Il est recommandé d’administrer l'amiodarone le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,CICLOSPORINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par la ciclosporine. Il est recommandé d’administrer la ciclosporine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,ERYTHROMYCINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'érythromycine. Il est recommandé d’administrer l'érythromycine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AGOMELATINE,CIPROFLOXACINE,DECONSEILLEE,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables."
AGOMELATINE,FLUVOXAMINE,CONTRE_INDICATION,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables."
ALBENDAZOLE,RIFAMPICINE,PRECAUTION_EMPLOI,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque Surveillance clinique de la réponse thérapeutique et adaptation de baisse de son efficacité. éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt."
ALCALINISANTS URINAIRES,HYDROQUINIDINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale de Surveillance clinique, ECG et éventuellement contrôle des l'hydroquinidine par alcalinisation des urines). concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
ALCALINISANTS URINAIRES,QUINIDINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale de la Surveillance clinique, ECG et éventuellement contrôle de la quinidine par alcalinisation des urines). quinidinémie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
ALCOOL,ACIDE NICOTINIQUE,A_PRENDRE_EN_COMPTE,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur."
ALFENTANIL,CIMETIDINE,PRECAUTION_EMPLOI,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de l'effet dépresseur respiratoire de Adapter la posologie de l'alfentanil en cas de traitement par la l'analgésique opiacé par diminution de son métabolisme hépatique. cimétidine.
ALFENTANIL,DILTIAZEM,PRECAUTION_EMPLOI,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique. Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.
ALFENTANIL,ERYTHROMYCINE,PRECAUTION_EMPLOI,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique. Adapter la posologie de l'alfentanil en cas de traitement par l'érythromycine.
ALFENTANIL,FLUCONAZOLE,PRECAUTION_EMPLOI,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique. Adapter la posologie de l'alfentanil en cas de traitement par le fluconazole.
ALFUZOSINE,OMBITASVIR + PARITAPRÉVIR,CONTRE_INDICATION,Augmentation des concentrations plasmatiques de l'afuzosine par diminution de son métabolisme hépatique par la bithérapie.
ALLOPURINOL,ANTIVITAMINES K,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'allopurinol et 8 jours après son arrêt.
ALLOPURINOL,DIDANOSINE,DECONSEILLEE,Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.
ALLOPURINOL,PÉNICILLINES A,A_PRENDRE_EN_COMPTE,Risque accru de réactions cutanées.
ALLOPURINOL,VIDARABINE,DECONSEILLEE,"Risque accru de troubles neurologiques (tremblements, confusion) par inhibition partielle du métabolisme de l'antiviral."
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,DECONSEILLEE,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique sévère.
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,A_PRENDRE_EN_COMPTE,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique majoré.
ALUMINIUM,CITRATES,PRECAUTION_EMPLOI,"Risque de facilitation du passage systémique de l’aluminium, notamment en cas de fonction rénale altérée. Prendre les topiques gastro-intestinaux à base d'aluminium à distance des citrates (plus de 2 heures si possible), y compris les citrates naturels (jus d'agrumes)."
AMBRISENTAN,CICLOSPORINE,A_PRENDRE_EN_COMPTE,"Doublement des concentrations d’ambrisentan, avec majoration de l’effet vasodilatateur (céphalées)."
AMINOSIDES,AMPHOTERICINE B,A_PRENDRE_EN_COMPTE,Avec l'amphotéricine B administrée par voie IV : risque accru de néphrotoxicité.
AMINOSIDES,ATALUREN,CONTRE_INDICATION,Risque de potentialisation de la toxicité rénale de l’aminoside.
AMINOSIDES,BOTULIQUE,DECONSEILLEE,Risque d'augmentation des effets de la toxine botulique avec les aminosides (par extrapolation à partir des effets observés au cours Utiliser un autre antibiotique. du botulisme).
AMINOSIDES,CEFALOTINE,PRECAUTION_EMPLOI,L'augmentation de la néphrotoxicité des aminosides par la céfalotine est discutée. Surveillance de la fonction rénale.
AMINOSIDES,CICLOSPORINE,A_PRENDRE_EN_COMPTE,"Augmentation de la créatininémie plus importante que sous ciclosporine seule, avec majoration du risque néphrotoxique."
AMINOSIDES,CURARES,PRECAUTION_EMPLOI,"Potentialisation des curares lorque l'antibiotique est administré par voie parentérale et/ou péritonéale avant, pendant ou après l'agent Surveiller le degré de curarisation en fin d'anesthésie. curarisant."
AMINOSIDES,ORGANOPLATINES,A_PRENDRE_EN_COMPTE,"Addition des effets néphrotoxiques et/ou ototoxiques, notamment en cas d'insuffisance rénale préalable."
AMINOSIDES,POLYMYXINE B,DECONSEILLEE,"Addition des effets néphrotoxiques. Si l'association ne peut être évitée, surveillance stricte avec une justification bactériologique indiscutable."
AMINOSIDES,TACROLIMUS,A_PRENDRE_EN_COMPTE,Augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances).
AMIODARONE,AFATINIB,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'amiodarone. Il est recommandé d’administrer l'amiodarone le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AMIODARONE,ANTIVITAMINES K,PRECAUTION_EMPLOI,Augmentation de l'effet de l'antivitamine K et du risque hémorragique. Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'amiodarone et jusqu'à 4 semaines après son arrêt.
AMIODARONE,BÊTA-BLOQUANTS,PRECAUTION_EMPLOI,Troubles de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs). Surveillance clinique et ECG.
AMIODARONE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,PRECAUTION_EMPLOI,Troubles de l'automatisme et de la conduction cardiaque avec risque de bradycardie excessive. Surveillance clinique et ECG régulière.
AMIODARONE,CICLOSPORINE,DECONSEILLEE,"Augmentation des concentrations sanguines de ciclosporine, par diminution de son métabolisme hépatique, avec risque d'effets Dosage des concentrations sanguines de ciclosporine, contrôle de la néphrotoxiques. fonction rénale et adaptation de la posologie de la ciclosporine pendant le traitement par l'amiodarone."
AMIODARONE,COBICISTAT,CONTRE_INDICATION,Risque de majoration des effets indésirables de l'amiodarone par diminution de son métabolisme par le cobicistat.
AMIODARONE,DABIGATRAN,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement. Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran si nécessaire, sans excéder 150 mg/j."
AMIODARONE,DIGOXINE,PRECAUTION_EMPLOI,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la Surveillance clinique, ECG et, s'il y a lieu, contrôle de la digoxinémie et digoxinémie par diminution de la clairance de la digoxine. adaptation de la posologie de la digoxine."
AMIODARONE,DILTIAZEM,DECONSEILLEE,"Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Association déconseillée avec : - le diltiazem IV Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- Si l'association ne peut être évitée, surveillance clinique et ECG continu. ventriculaire, notamment chez les personnes âgées. Précaution d'emploi avec : - le diltiazem per os Surveillance clinique et ECG."
AMIODARONE,DOCETAXEL,PRECAUTION_EMPLOI,Risque de majoration des effets indésirables du docétaxel par diminution de son métabolisme hépatique par l’amiodarone Surveillance clinique et adaptation éventuelle de la posologie du docétaxel.
AMIODARONE,ESMOLOL,PRECAUTION_EMPLOI,"Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs). Surveillance clinique et ECG."
AMIODARONE,FIDAXOMICINE,DECONSEILLEE,Augmentation des concentrations plasmatiques de la fidaxomicine.
AMIODARONE,FLUCONAZOLE,PRECAUTION_EMPLOI,"Risque d’allongement de l’intervalle QT. Surveillance clinique, particulièrement aux fortes doses de fluconazole (800 mg/j)."
AMLODIPINE,SIMVASTATINE,PRECAUTION_EMPLOI,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une l’hypocholestérolémiant). autre statine non concernée par ce type d’interaction.
AMPHOTERICINE B,AMINOSIDES,A_PRENDRE_EN_COMPTE,Avec l'amphotéricine B administrée par voie IV : risque accru de néphrotoxicité.
AMPHOTERICINE B,CICLOSPORINE,A_PRENDRE_EN_COMPTE,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous ciclosporine seule (synergie des effets néphrotoxiques des deux substances).
AMPHOTERICINE B,TACROLIMUS,A_PRENDRE_EN_COMPTE,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances).
AMPHOTERICINE B,ZIDOVUDINE,PRECAUTION_EMPLOI,Avec l'amphotéricine B administrée par voie IV : augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire). Contrôle plus fréquent de l'hémogramme.
ANAGRELIDE,ANTIAGRÉGANTS PLAQUETTAIRES,DECONSEILLEE,Majoration des événements hémorragiques.
ANAGRELIDE,OMEPRAZOLE,A_PRENDRE_EN_COMPTE,Risque de moindre efficacité de l'anagrélide par augmentation de son métabolisme par l'oméprazole. Préférer un autre inhibiteur de la pompe à protons.
ANAKINRA,ANTI-TNF ALPHA,DECONSEILLEE,Risque accru d'infections graves et de neutropénies.
ANAKINRA,ETANERCEPT,DECONSEILLEE,Risque accru d'infections graves et de neutropénies.
ANDROGÈNES,ANTIVITAMINES K,PRECAUTION_EMPLOI,Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques. Contrôle plus fréquent de l’INR. Adaptation de la posologie de l’antivitamine K pendant le traitement par l'androgène et après son arrêt.
